pool,tf,model,test_symbol,asset_class,tier,cutoff,n,wins,losses,wr,pf,expR
fx_train,5m,LightGBM,ADAUSDT,crypto,Standard,0.49315318103198996,21501,8758,12653,0.4090420811732287,1.038251797992571,0.022510580903213805
fx_train,5m,LightGBM,ADAUSDT,crypto,High,0.5007720438925009,12266,4930,7278,0.4038335517693316,1.0160758450123661,0.009538561878362955
fx_train,5m,LightGBM,ADAUSDT,crypto,Premium,0.5233374558181257,5958,2391,3536,0.40340813227602496,1.0142816742081449,0.00847599865726754
fx_train,5m,LightGBM,AUDUSD,fx,Standard,0.49315318103198996,10539,4733,5745,0.45170834128650506,1.2357702349869453,0.12852263023057217
fx_train,5m,LightGBM,AUDUSD,fx,High,0.5007720438925009,2962,1570,1367,0.5345590738849166,1.7227505486466717,0.33355840648210666
fx_train,5m,LightGBM,AUDUSD,fx,Premium,0.5233374558181257,1178,739,429,0.6327054794520548,2.5839160839160837,0.5768251273344652
fx_train,5m,LightGBM,BNBUSDT,crypto,Standard,0.49315318103198996,22147,9279,12791,0.4204349796103308,1.0881479165037917,0.05090982977378426
fx_train,5m,LightGBM,BNBUSDT,crypto,High,0.5007720438925009,12788,5283,7444,0.41510175218040385,1.0645486297689415,0.03757428839537066
fx_train,5m,LightGBM,BNBUSDT,crypto,Premium,0.5233374558181257,6558,2682,3849,0.41065686724850714,1.0452065471551053,0.026532479414455627
fx_train,5m,LightGBM,BTCUSDT,crypto,Standard,0.49315318103198996,14395,6023,8302,0.4204537521815009,1.0882317513852084,0.05088572420979507
fx_train,5m,LightGBM,BTCUSDT,crypto,High,0.5007720438925009,4841,2007,2792,0.41821212752656806,1.078259312320917,0.04513530262342491
fx_train,5m,LightGBM,BTCUSDT,crypto,Premium,0.5233374558181257,1398,575,819,0.41248206599713055,1.0531135531135531,0.03111587982832618
fx_train,5m,LightGBM,ETHUSDT,crypto,Standard,0.49315318103198996,9777,3970,5757,0.408142284363113,1.034392912975508,0.020251610923596196
fx_train,5m,LightGBM,ETHUSDT,crypto,High,0.5007720438925009,2813,1132,1653,0.40646319569120287,1.0272232304900182,0.015997156061144685
fx_train,5m,LightGBM,ETHUSDT,crypto,Premium,0.5233374558181257,461,162,291,0.3576158940397351,0.8350515463917526,-0.10412147505422993
fx_train,5m,LightGBM,EURUSD,fx,Standard,0.49315318103198996,13772,6235,7403,0.45717847191670336,1.2633391868161556,0.14155532965437118
fx_train,5m,LightGBM,EURUSD,fx,High,0.5007720438925009,3755,1943,1733,0.528563656147987,1.6817657241777264,0.31464713715046605
fx_train,5m,LightGBM,EURUSD,fx,Premium,0.5233374558181257,1085,668,383,0.6355851569933397,2.6161879895561357,0.5705069124423963
fx_train,5m,LightGBM,GBPUSD,fx,Standard,0.49315318103198996,14034,6375,7543,0.45803994826842936,1.267731671748641,0.14390052729086505
fx_train,5m,LightGBM,GBPUSD,fx,High,0.5007720438925009,4478,2339,2085,0.5287070524412296,1.6827338129496403,0.3178874497543546
fx_train,5m,LightGBM,GBPUSD,fx,Premium,0.5233374558181257,1832,1160,654,0.639470782800441,2.6605504587155964,0.5927947598253275
fx_train,5m,LightGBM,SOLUSDT,crypto,Standard,0.49315318103198996,13280,5446,7780,0.4117647058823529,1.05,0.029292168674698794
fx_train,5m,LightGBM,SOLUSDT,crypto,High,0.5007720438925009,4630,1875,2720,0.40805223068552776,1.0340073529411764,0.01997840172786177
fx_train,5m,LightGBM,SOLUSDT,crypto,Premium,0.5233374558181257,1187,461,711,0.39334470989761094,0.9725738396624473,-0.016427969671440605
fx_train,5m,LightGBM,USDCHF,fx,Standard,0.49315318103198996,13547,5895,7513,0.4396628878281623,1.1769599361107415,0.09813980955193032
fx_train,5m,LightGBM,USDCHF,fx,High,0.5007720438925009,4254,2107,2106,0.5001186802753382,1.5007122507122508,0.24788434414668548
fx_train,5m,LightGBM,USDCHF,fx,Premium,0.5233374558181257,1654,1036,595,0.6351931330472103,2.611764705882353,0.5798065296251511
fx_train,5m,LightGBM,USDJPY,fx,Standard,0.49315318103198996,11627,5153,6426,0.4450297953191122,1.2028478057889822,0.11210974456007569
fx_train,5m,LightGBM,USDJPY,fx,High,0.5007720438925009,4158,2114,2033,0.5097660959729925,1.55976389572061,0.2736892736892737
fx_train,5m,LightGBM,USDJPY,fx,Premium,0.5233374558181257,2025,1148,871,0.5685983159980188,1.9770378874856487,0.4202469135802469
fx_train,15m,LightGBM,ADAUSDT,crypto,Standard,0.49626551252142076,6685,2658,3964,0.4013893083660526,1.0058022199798184,0.0034405385190725505
fx_train,15m,LightGBM,ADAUSDT,crypto,High,0.5045669625211532,1612,669,926,0.419435736677116,1.0836933045356372,0.04807692307692308
fx_train,15m,LightGBM,ADAUSDT,crypto,Premium,0.5272349222479638,430,164,263,0.3840749414519906,0.935361216730038,-0.03953488372093023
fx_train,15m,LightGBM,AUDUSD,fx,Standard,0.49626551252142076,4118,1838,2262,0.4482926829268293,1.2188328912466844,0.12020398251578436
fx_train,15m,LightGBM,AUDUSD,fx,High,0.5045669625211532,1070,514,550,0.4830827067669173,1.4018181818181819,0.20654205607476636
fx_train,15m,LightGBM,AUDUSD,fx,Premium,0.5272349222479638,311,170,141,0.5466237942122186,1.8085106382978724,0.3665594855305466
fx_train,15m,LightGBM,BNBUSDT,crypto,Standard,0.49626551252142076,6304,2569,3695,0.4101213282247765,1.0428958051420838,0.02514276649746193
fx_train,15m,LightGBM,BNBUSDT,crypto,High,0.5045669625211532,1567,602,960,0.3854033290653009,0.940625,-0.036375239310784936
fx_train,15m,LightGBM,BNBUSDT,crypto,Premium,0.5272349222479638,431,163,267,0.37906976744186044,0.9157303370786517,-0.052204176334106726
fx_train,15m,LightGBM,BTCUSDT,crypto,Standard,0.49626551252142076,4867,1911,2819,0.4040169133192389,1.0168499467896417,0.009759605506472159
fx_train,15m,LightGBM,BTCUSDT,crypto,High,0.5045669625211532,527,206,302,0.40551181102362205,1.0231788079470199,0.013282732447817837
fx_train,15m,LightGBM,BTCUSDT,crypto,Premium,0.5272349222479638,43,14,28,0.3333333333333333,0.75,-0.16279069767441862
fx_train,15m,LightGBM,ETHUSDT,crypto,Standard,0.49626551252142076,3630,1335,2215,0.376056338028169,0.9040632054176072,-0.05853994490358127
fx_train,15m,LightGBM,ETHUSDT,crypto,High,0.5045669625211532,252,80,167,0.32388663967611336,0.718562874251497,-0.1865079365079365
fx_train,15m,LightGBM,ETHUSDT,crypto,Premium,0.5272349222479638,29,12,17,0.41379310344827586,1.0588235294117647,0.034482758620689655
fx_train,15m,LightGBM,EURUSD,fx,Standard,0.49626551252142076,4754,1952,2699,0.419694689314126,1.0848462393479066,0.048169962137147665
fx_train,15m,LightGBM,EURUSD,fx,High,0.5045669625211532,1222,548,618,0.4699828473413379,1.3300970873786409,0.16693944353518822
fx_train,15m,LightGBM,EURUSD,fx,Premium,0.5272349222479638,299,140,153,0.4778156996587031,1.3725490196078431,0.19063545150501673
fx_train,15m,LightGBM,GBPUSD,fx,Standard,0.49626551252142076,5240,2182,2929,0.4269223243983565,1.1174462273813588,0.06564885496183206
fx_train,15m,LightGBM,GBPUSD,fx,High,0.5045669625211532,1453,652,736,0.4697406340057637,1.328804347826087,0.16655196145905024
fx_train,15m,LightGBM,GBPUSD,fx,Premium,0.5272349222479638,468,233,209,0.5271493212669683,1.6722488038277512,0.3002136752136752
fx_train,15m,LightGBM,SOLUSDT,crypto,Standard,0.49626551252142076,4054,1637,2370,0.4085350636386324,1.0360759493670886,0.021090281203749384
fx_train,15m,LightGBM,SOLUSDT,crypto,High,0.5045669625211532,411,171,236,0.4201474201474201,1.0868644067796611,0.049878345498783457
fx_train,15m,LightGBM,SOLUSDT,crypto,Premium,0.5272349222479638,36,17,18,0.4857142857142857,1.4166666666666667,0.20833333333333334
fx_train,15m,LightGBM,USDCHF,fx,Standard,0.49626551252142076,4813,1928,2741,0.41293638894838297,1.0550893834367019,0.03137336380635778
fx_train,15m,LightGBM,USDCHF,fx,High,0.5045669625211532,1289,566,655,0.46355446355446356,1.2961832061068703,0.15050426687354537
fx_train,15m,LightGBM,USDCHF,fx,Premium,0.5272349222479638,422,216,172,0.5567010309278351,1.8837209302325582,0.36018957345971564
fx_train,15m,LightGBM,USDJPY,fx,Standard,0.49626551252142076,4202,1758,2426,0.4201720841300191,1.0869744435284419,0.05021418372203713
fx_train,15m,LightGBM,USDJPY,fx,High,0.5045669625211532,1484,682,795,0.4617467840216655,1.2867924528301886,0.15363881401617252
fx_train,15m,LightGBM,USDJPY,fx,Premium,0.5272349222479638,631,286,343,0.4546899841017488,1.250728862973761,0.13629160063391443
