symbol,timeframe,n,pos_rate
ADAUSDT,5m,665856,0.398575668012303
ADAUSDT,15m,221952,0.3849435914071511
ADAUSDT,30m,110976,0.38171316320645904
ADAUSDT,1h,55488,0.37775735294117646
AUDUSD,5m,473415,0.392186559361237
AUDUSD,15m,157875,0.38013618368962787
AUDUSD,30m,78942,0.3823693344480758
AUDUSD,1h,39470,0.38925766404864454
BNBUSDT,5m,665856,0.40655787437524027
BNBUSDT,15m,221952,0.3983609068627451
BNBUSDT,30m,110976,0.3965091551326413
BNBUSDT,1h,55488,0.3963920126874279
BTCUSDT,5m,665856,0.39479857506728183
BTCUSDT,15m,221952,0.3846056805074971
BTCUSDT,30m,110976,0.3815870098039216
BTCUSDT,1h,55488,0.38008217993079585
ETHUSDT,5m,665856,0.3953948000768935
ETHUSDT,15m,221952,0.3892823673587082
ETHUSDT,30m,110976,0.39047181372549017
ETHUSDT,1h,55488,0.39141796424452135
EURUSD,5m,473535,0.39197524998152194
EURUSD,15m,157888,0.3750823368463721
EURUSD,30m,78949,0.37982748356533963
EURUSD,1h,39473,0.39274947432422164
GBPUSD,5m,473399,0.39436923187416956
GBPUSD,15m,157868,0.3714749030835888
GBPUSD,30m,78940,0.3794274132252344
GBPUSD,1h,39469,0.39694443740657226
SOLUSDT,5m,498408,0.3954771994028988
SOLUSDT,15m,166136,0.38699619588770645
SOLUSDT,30m,83068,0.3841310733375066
SOLUSDT,1h,41534,0.3842394183078923
USDCHF,5m,472973,0.3927496918428747
USDCHF,15m,157808,0.3644555409104735
USDCHF,30m,78921,0.3670505948986962
USDCHF,1h,39464,0.38070139874315834
USDJPY,5m,473529,0.39704854401736744
USDJPY,15m,157885,0.3825505906197549
USDJPY,30m,78945,0.3898663626575464
USDJPY,1h,39472,0.3950901905147953
