tf,rank,feature,mean_abs_shap
5m,1,hour_sin,0.005339550505140056
5m,2,ema_20_dist_atr,0.0037483696358919017
5m,3,hour_cos,0.0011575473293706307
5m,4,rvol_20,0.0008971071239745509
5m,5,dist_to_swing_low_atr,0.0
15m,1,hour_sin,0.006208441705918484
15m,2,ema_20_dist_atr,0.0017467820244643619
15m,3,htf_ltf_agree_bull,0.0007692005441064134
15m,4,atr_percentile_100,0.0007610933093624425
15m,5,rvol_20,0.0006117388893858298
30m,1,hour_sin,0.0030527673279667935
30m,2,htf_ltf_agree_bull,0.001027543064299191
30m,3,rvol_20,0.0010130503507420794
30m,4,dist_to_swing_low_atr,0.0007782108278708834
30m,5,realized_vol_20,0.0005227556108106482
1h,1,adx_14,0.004163333796914359
1h,2,atr_pct,0.0022380123176128116
1h,3,realized_vol_20,0.001252568871073616
1h,4,ltf_rsi_minus_htf_rsi,0.0011346896296464304
1h,5,atr_percentile_100,0.0008197150595182908
