regime,pf,wr,n,wins,losses,share_of_signals,symbol
low,1.264166001596169,0.4573408401905587,2321,1056,1253,0.42439202779301516,USDCHF
mid,1.8243243243243243,0.5487804878048781,2683,1440,1184,0.49058328762113734,USDCHF
high,1.7352941176470589,0.5363636363636364,465,236,204,0.0850246845858475,USDCHF
unknown,0.0,0.0,0,0,0,0.0,USDCHF
low,1.6389473684210527,0.5221327967806841,3076,1557,1425,0.5730253353204173,USDCAD
mid,1.7510799136069115,0.5386148480318884,2086,1081,926,0.38859910581222057,USDCAD
high,2.36,0.6113989637305699,206,118,75,0.038375558867362144,USDCAD
unknown,0.0,0.0,0,0,0,0.0,USDCAD
low,1.7472885032537961,0.5380761523046093,3021,1611,1383,0.5205031013094418,GBPUSD
mid,1.6203208556149733,0.519280205655527,2379,1212,1122,0.4098897312198484,GBPUSD
high,1.0,0.4,404,156,234,0.06960716747070986,GBPUSD
unknown,0.0,0.0,0,0,0,0.0,GBPUSD
