feature,mean_abs_shap,mean_signed_shap,n_samples
ema_20_dist_atr,0.04656818289364472,0.045352643884892074,1239
rvol_20,0.03665787717477079,0.024593523821850406,1239
hour_sin,0.026412342089508524,0.026412342089508524,1239
dist_to_swing_low_atr,0.024906331804405202,0.023097526829214524,1239
hour_cos,0.005910599090047892,-0.005581583106531974,1239
ltf_rsi_minus_htf_rsi,0.004758855917919564,0.004418711706956908,1239
volume_z_score,0.0018201217868845762,-0.0006830655442817209,1239
both_high_vol,0.001625987887975358,0.0015461589001663349,1239
htf_1h_atr_percentile_100,0.0015436434208951238,0.0009895790786693616,1239
ema_20_slope_atr,0.0010659027151187106,0.0009896436495923913,1239
dist_to_swing_high_atr,0.0008620962845562501,0.0008325861667369464,1239
atr_percentile_100,0.0008134524943208746,0.00042471192926906294,1239
htf_ltf_agree_bull,0.0007805751115118973,-0.00033056812043114964,1239
realized_vol_20,0.0004066679892458328,0.0003537114153833356,1239
pullback_in_bear,0.00038757096129396024,0.00038757096129396024,1239
