feature,mean_abs_shap_ny,mean_signed_shap_ny,mean_abs_shap_ldn,mean_signed_shap_ldn,abs_delta,signed_delta
rvol_20,0.1313411809831472,0.12597788053937714,0.07557774062532997,0.07557774062532997,0.05576344035781723,0.05040013991404717
ema_20_dist_atr,0.09797538366371177,0.09643642114173029,0.04939011461445384,0.049321387153052336,0.048585269049257925,0.04711503398867795
hour_cos,0.014815631530641556,0.0012968063076276514,0.009383881056767612,-0.009324049935134065,0.005431750473873944,0.010620856242761717
dist_to_swing_low_atr,0.048149758311405416,0.03840629515528954,0.028219082206342887,0.027931629896865772,0.01993067610506253,0.010474665258423766
hour_sin,0.03816120172587485,0.024031199975979294,0.0312960991705046,0.020257911935424193,0.006865102555370255,0.0037732880405551006
volume_z_score,0.0037162376768857296,-0.0021537105426093083,0.005670612476580337,-0.005390054480899647,-0.0019543747996946075,0.003236343938290339
dist_to_swing_high_atr,0.004661577796162097,0.004438028825073727,0.0013824311020369272,0.0013824311020369272,0.00327914669412517,0.0030555977230368
htf_1h_atr_percentile_100,0.0014738469154418695,-0.0002549952823093871,0.0018292612086934184,0.001340423177341111,-0.000355414293251549,-0.0015954184596504981
ema_20_slope_atr,0.0015467752346952565,0.001378597612541439,0.00018369607048384376,0.0001751739030979829,0.0013630791642114128,0.0012034237094434561
atr_percentile_100,0.0009923345033451658,0.00041973788335780373,0.0004736217939052185,-0.00014927492629252786,0.0005187127094399473,0.0005690128096503316
htf_ltf_agree_bull,0.0006988325551700541,-0.00012417148786788188,0.001278925977561109,0.0004041338623350436,-0.000580093422391055,-0.0005283053502029254
ltf_rsi_minus_htf_rsi,0.006119837000195558,0.005158766625949555,0.004794544067602428,0.004794544067602428,0.00132529293259313,0.00036422255834712633
realized_vol_20,0.00036253513888106234,0.0002433503941798742,0.0009047984158587959,0.0004929145226343307,-0.0005422632769777336,-0.00024956412845445646
pullback_in_bear,0.0006948185224012551,0.0006816402288607235,0.00044884481085347556,0.00044884481085347556,0.00024597371154777954,0.00023279541800724795
both_high_vol,0.0010449894189859133,0.0009748781387191998,0.0014159261441302172,0.0009205975560120338,-0.00037093672514430386,5.428058270716602e-05
