feature,mean_abs_shap_win,mean_signed_shap_win,mean_abs_shap_loss,mean_signed_shap_loss,abs_delta,signed_delta
rvol_20,0.1035303546319539,0.09605686682715177,0.0619855988627656,0.05248490571325799,0.0415447557691883,0.043571961113893776
ema_20_dist_atr,0.0768528865409465,0.07463608287855295,0.05703855831005082,0.05354244627769661,0.019814328230895684,0.021093636600856336
hour_sin,0.040506111916270314,0.036929105769288186,0.03639329074067972,0.03027784375980638,0.004112821175590593,0.006651262009481806
dist_to_swing_low_atr,0.03689139158317792,0.02954890315009578,0.030739170114009288,0.02457986159421217,0.00615222146916863,0.00496904155588361
hour_cos,0.01029224111202333,0.0005473837969872879,0.009380218054435317,-0.003027260883829253,0.0009120230575880139,0.0035746446808165412
dist_to_swing_high_atr,0.002871560987265065,0.0027558881523552722,0.0022351035569182645,0.002023085219945252,0.0006364574303468003,0.0007328029324100201
ltf_rsi_minus_htf_rsi,0.005766438225911244,0.005213016893833082,0.005259850963251532,0.004632891511407409,0.0005065872626597119,0.0005801253824256735
volume_z_score,0.0028283398981384027,-0.0014191660372053193,0.0025384284481150413,-0.0011590306264514171,0.00028991145002336136,-0.0002601354107539021
htf_1h_atr_percentile_100,0.001431073115285581,0.00016392517740971844,0.0015206601346804027,0.00038761104093378165,-8.958701939482182e-05,-0.0002236858635240632
both_high_vol,0.001236106351741885,0.001086649002493757,0.001433952748491296,0.0012225546583332903,-0.0001978463967494109,-0.00013590565583953326
ema_20_slope_atr,0.0011743872328291364,0.0010097621709208534,0.001280185745254699,0.0011454956474253807,-0.00010579851242556253,-0.00013573347650452732
pullback_in_bear,0.0006580067799408483,0.0006580067799408483,0.0005991882311312113,0.0005893551225640257,5.881854880963693e-05,6.865165737682255e-05
htf_ltf_agree_bull,0.0008283537189576518,-0.0002512663735384403,0.0008311731180073154,-0.000283040307711283,-2.819399049663689e-06,3.177393417284273e-05
realized_vol_20,0.00037285644431263814,0.0002761367498718233,0.00038749313106949574,0.00029803411269585734,-1.46366867568576e-05,-2.1897362824034052e-05
atr_percentile_100,0.0010865488515831513,0.0005606849572275886,0.0010166634941969805,0.00056711336783504,6.988535738617079e-05,-6.4284106074514145e-06
