feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.07557774062532997,0.07557774062532997,23
ema_20_dist_atr,0.04939011461445384,0.049321387153052336,23
hour_sin,0.0312960991705046,0.020257911935424193,23
dist_to_swing_low_atr,0.028219082206342887,0.027931629896865772,23
hour_cos,0.009383881056767612,-0.009324049935134065,23
volume_z_score,0.005670612476580337,-0.005390054480899647,23
ltf_rsi_minus_htf_rsi,0.004794544067602428,0.004794544067602428,23
htf_1h_atr_percentile_100,0.0018292612086934184,0.001340423177341111,23
both_high_vol,0.0014159261441302172,0.0009205975560120338,23
dist_to_swing_high_atr,0.0013824311020369272,0.0013824311020369272,23
htf_ltf_agree_bull,0.001278925977561109,0.0004041338623350436,23
realized_vol_20,0.0009047984158587959,0.0004929145226343307,23
atr_percentile_100,0.0004736217939052185,-0.00014927492629252786,23
pullback_in_bear,0.00044884481085347556,0.00044884481085347556,23
ema_20_slope_atr,0.00018369607048384376,0.0001751739030979829,23
