feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.0619855988627656,0.05248490571325799,1367
ema_20_dist_atr,0.05703855831005082,0.05354244627769661,1367
hour_sin,0.03639329074067972,0.03027784375980638,1367
dist_to_swing_low_atr,0.030739170114009288,0.02457986159421217,1367
hour_cos,0.009380218054435317,-0.003027260883829253,1367
ltf_rsi_minus_htf_rsi,0.005259850963251532,0.004632891511407409,1367
volume_z_score,0.0025384284481150413,-0.0011590306264514171,1367
dist_to_swing_high_atr,0.0022351035569182645,0.002023085219945252,1367
htf_1h_atr_percentile_100,0.0015206601346804027,0.00038761104093378165,1367
both_high_vol,0.001433952748491296,0.0012225546583332903,1367
ema_20_slope_atr,0.001280185745254699,0.0011454956474253807,1367
atr_percentile_100,0.0010166634941969805,0.00056711336783504,1367
htf_ltf_agree_bull,0.0008311731180073154,-0.000283040307711283,1367
pullback_in_bear,0.0005991882311312113,0.0005893551225640257,1367
realized_vol_20,0.00038749313106949574,0.00029803411269585734,1367
