feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.1313411809831472,0.12597788053937714,1020
ema_20_dist_atr,0.09797538366371177,0.09643642114173029,1020
dist_to_swing_low_atr,0.048149758311405416,0.03840629515528954,1020
hour_sin,0.03816120172587485,0.024031199975979294,1020
hour_cos,0.014815631530641556,0.0012968063076276514,1020
ltf_rsi_minus_htf_rsi,0.006119837000195558,0.005158766625949555,1020
dist_to_swing_high_atr,0.004661577796162097,0.004438028825073727,1020
volume_z_score,0.0037162376768857296,-0.0021537105426093083,1020
ema_20_slope_atr,0.0015467752346952565,0.001378597612541439,1020
htf_1h_atr_percentile_100,0.0014738469154418695,-0.0002549952823093871,1020
both_high_vol,0.0010449894189859133,0.0009748781387191998,1020
atr_percentile_100,0.0009923345033451658,0.00041973788335780373,1020
htf_ltf_agree_bull,0.0006988325551700541,-0.00012417148786788188,1020
pullback_in_bear,0.0006948185224012551,0.0006816402288607235,1020
realized_vol_20,0.00036253513888106234,0.0002433503941798742,1020
