feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.1035303546319539,0.09605686682715177,1591
ema_20_dist_atr,0.0768528865409465,0.07463608287855295,1591
hour_sin,0.040506111916270314,0.036929105769288186,1591
dist_to_swing_low_atr,0.03689139158317792,0.02954890315009578,1591
hour_cos,0.01029224111202333,0.0005473837969872879,1591
ltf_rsi_minus_htf_rsi,0.005766438225911244,0.005213016893833082,1591
dist_to_swing_high_atr,0.002871560987265065,0.0027558881523552722,1591
volume_z_score,0.0028283398981384027,-0.0014191660372053193,1591
htf_1h_atr_percentile_100,0.001431073115285581,0.00016392517740971844,1591
both_high_vol,0.001236106351741885,0.001086649002493757,1591
ema_20_slope_atr,0.0011743872328291364,0.0010097621709208534,1591
atr_percentile_100,0.0010865488515831513,0.0005606849572275886,1591
htf_ltf_agree_bull,0.0008283537189576518,-0.0002512663735384403,1591
pullback_in_bear,0.0006580067799408483,0.0006580067799408483,1591
realized_vol_20,0.00037285644431263814,0.0002761367498718233,1591
