feature,mean_abs_shap,mean_signed_shap,n_samples
ema_20_dist_atr,0.0431304651804763,0.042272603239451215,1089
dist_to_swing_low_atr,0.02424276621840188,0.023659775444860486,1089
hour_sin,0.022278635858524354,0.022278635858524354,1089
rvol_20,0.016450265238664583,0.001277053816082151,1089
ltf_rsi_minus_htf_rsi,0.004362938595743211,0.004362938595743211,1089
hour_cos,0.0032996414306761947,-0.0029572982810745197,1089
both_high_vol,0.0018111344599528432,0.0018111344599528432,1089
htf_1h_atr_percentile_100,0.0017441785470833364,0.0007730150137159395,1089
ema_20_slope_atr,0.0011681771448887083,0.0011154934377207535,1089
volume_z_score,0.000996080809807493,0.0002103368807952229,1089
dist_to_swing_high_atr,0.0008616315777751197,0.0008482016288391707,1089
atr_percentile_100,0.0008269445281957892,0.0005688722822212831,1089
htf_ltf_agree_bull,0.0007191753117279295,-0.0002996600135946287,1089
pullback_in_bear,0.00038639809018558847,0.0003793207951870578,1089
realized_vol_20,0.00035532274705829395,0.00033874702342294303,1089
