feature,mean_abs_shap_ny,mean_signed_shap_ny,mean_abs_shap_ldn,mean_signed_shap_ldn,abs_delta,signed_delta
rvol_20,0.12706015170732368,0.12160053487532009,0.05760296247360081,0.05760296247360081,0.06945718923372288,0.06399757240171927
ema_20_dist_atr,0.0976677958529265,0.09620689177784637,0.058539081361805495,0.058539081361805495,0.039128714491121,0.03766781041604088
dist_to_swing_low_atr,0.045359061120550034,0.03366639212722128,0.021901011607256105,0.02148856664580625,0.02345804951329393,0.012177825481415029
hour_cos,0.014445548392575632,0.0021706424847506072,0.00875465478065677,-0.00875465478065677,0.005690893611918862,0.010925297265407377
hour_sin,0.036470723282364705,0.0272569742875285,0.027059869795780248,0.019758120290970967,0.009410853486584457,0.007498853996557534
dist_to_swing_high_atr,0.004743140845882415,0.004635171819707679,0.0010489083896406267,0.0010489083896406267,0.0036942324562417887,0.0035862634300670524
volume_z_score,0.005127961215219267,-0.003819515909769918,0.006371399184411281,-0.00613766610777408,-0.001243437969192014,0.0023181501980041623
ltf_rsi_minus_htf_rsi,0.006525444214524302,0.004568138374090248,0.004183949632537768,0.0032036014091009605,0.002341494581986534,0.0013645369649892872
htf_1h_atr_percentile_100,0.0015026173424332345,-0.00044820698214873635,0.00232323093980563,0.0007900571142006662,-0.0008206135973723955,-0.0012382640963494026
ema_20_slope_atr,0.0015574881397424553,0.0013860012524270198,0.0001839965988061746,0.0001750870601755019,0.0013734915409362807,0.0012109141922515179
realized_vol_20,0.0003493844565336972,0.0002454427302207929,0.0008929832662594974,0.0008929832662594974,-0.0005435988097258003,-0.0006475405360387045
both_high_vol,0.0011848580058915663,0.0008412064895151835,0.0019502850253232992,0.0004680742384080002,-0.0007654270194317329,0.00037313225110718336
atr_percentile_100,0.0011823099824968344,0.0005440799622020016,0.0002518965818173623,0.00020950978515742308,0.0009304134006794722,0.0003345701770445785
pullback_in_bear,0.0006737867361837457,0.0006737867361837457,0.00035928430581220105,0.00035928430581220105,0.00031450243037154464,0.00031450243037154464
htf_ltf_agree_bull,0.0006792117214556332,-0.00020181393639739077,0.000803926578021276,-0.00032526825119604663,-0.0001247148565656428,0.00012345431479865587
