feature,mean_abs_shap_win,mean_signed_shap_win,mean_abs_shap_loss,mean_signed_shap_loss,abs_delta,signed_delta
rvol_20,0.09558552984567767,0.08738515434010466,0.048702906012079966,0.037562673853569754,0.0468826238335977,0.049822480486534905
ema_20_dist_atr,0.07628051731374563,0.07411084462359334,0.05435380107590481,0.05141281834104417,0.021926716237840822,0.022698026282549168
dist_to_swing_low_atr,0.03649178508818555,0.029191371031342124,0.027538605785220934,0.02118922443474844,0.008953179302964614,0.008002146596593682
hour_sin,0.03902855765021655,0.03618989222940571,0.03535365744947567,0.031585013840704036,0.003674900200740884,0.004604878388701675
hour_cos,0.010061101911176387,0.002018163123622656,0.007502808988914874,-0.0008945652866375926,0.002558292922261513,0.0029127284102602484
volume_z_score,0.003369705414619051,-0.0020697807058480096,0.002311011780204933,-0.0008182934479750828,0.001058693634414118,-0.001251487257872927
dist_to_swing_high_atr,0.0030543682278203845,0.0029517374187401197,0.0023083706630164388,0.0021838715062105734,0.0007459975648039458,0.0007678659125295462
htf_1h_atr_percentile_100,0.0015442341874081882,-8.7784375101412e-05,0.0016458403417412963,0.0001614946873185666,-0.0001016061543331081,-0.0002492790624199786
ltf_rsi_minus_htf_rsi,0.005962056559665859,0.004683819164180623,0.005187418215790598,0.004441482266936326,0.000774638343875261,0.00024233689724429634
both_high_vol,0.0013046337082719222,0.0011441820397644809,0.0014979132501593516,0.001386256354142521,-0.00019327954188742944,-0.0002420743143780402
htf_ltf_agree_bull,0.0008304270233242926,-0.00020696404719168707,0.0008224486812776411,-0.0003032951934469559,7.978342046651484e-06,9.633114625526884e-05
ema_20_slope_atr,0.0012540931208653826,0.0010938249600317654,0.0013045083821013172,0.0011839831882795014,-5.041526123593463e-05,-9.015822824773594e-05
realized_vol_20,0.00035138490451069003,0.00026981808352137705,0.00035588669314693045,0.0003069184516019228,-4.5017886362404215e-06,-3.710036808054573e-05
atr_percentile_100,0.0011229120960680598,0.0007344802721080687,0.001119251155197844,0.0007169793094511923,3.66094087021567e-06,1.750096265687646e-05
pullback_in_bear,0.0006463295019532519,0.0006463295019532519,0.0006461235203808675,0.0006304691653366461,2.0598157238443764e-07,1.586033661660582e-05
