feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.07525515182247057,0.06585607993478859,3000
ema_20_dist_atr,0.06596001139419133,0.06330209679383876,3000
hour_sin,0.03741882603917984,0.03407730640371921,3000
dist_to_swing_low_atr,0.032394267731614725,0.02510550523493913,3000
hour_cos,0.00895389286097299,0.000473656229255541,3000
ltf_rsi_minus_htf_rsi,0.005627953655343451,0.004628846963105365,3000
volume_z_score,0.002984440512320227,-0.0016005195452710112,3000
dist_to_swing_high_atr,0.002741640671282225,0.0026142760518236426,3000
htf_1h_atr_percentile_100,0.0015899306187285433,-5.61286600795943e-06,3000
both_high_vol,0.0013916585806660216,0.0012207492958126052,3000
ema_20_slope_atr,0.001278575447045648,0.001132747414859463,3000
atr_percentile_100,0.001128682267538895,0.0007241086448686514,3000
htf_ltf_agree_bull,0.0008291020105266684,-0.0002503692859667055,3000
pullback_in_bear,0.0006478876140491685,0.0006408379361609209,3000
realized_vol_20,0.00035325996602933896,0.00028570283011755985,3000
