feature,mean_abs_shap,mean_signed_shap,n_samples
ema_20_dist_atr,0.058539081361805495,0.058539081361805495,22
rvol_20,0.05760296247360081,0.05760296247360081,22
hour_sin,0.027059869795780248,0.019758120290970967,22
dist_to_swing_low_atr,0.021901011607256105,0.02148856664580625,22
hour_cos,0.00875465478065677,-0.00875465478065677,22
volume_z_score,0.006371399184411281,-0.00613766610777408,22
ltf_rsi_minus_htf_rsi,0.004183949632537768,0.0032036014091009605,22
htf_1h_atr_percentile_100,0.00232323093980563,0.0007900571142006662,22
both_high_vol,0.0019502850253232992,0.0004680742384080002,22
dist_to_swing_high_atr,0.0010489083896406267,0.0010489083896406267,22
realized_vol_20,0.0008929832662594974,0.0008929832662594974,22
htf_ltf_agree_bull,0.000803926578021276,-0.00032526825119604663,22
pullback_in_bear,0.00035928430581220105,0.00035928430581220105,22
atr_percentile_100,0.0002518965818173623,0.00020950978515742308,22
ema_20_slope_atr,0.0001839965988061746,0.0001750870601755019,22
