feature,mean_abs_shap,mean_signed_shap,n_samples
ema_20_dist_atr,0.05435380107590481,0.05141281834104417,1351
rvol_20,0.048702906012079966,0.037562673853569754,1351
hour_sin,0.03535365744947567,0.031585013840704036,1351
dist_to_swing_low_atr,0.027538605785220934,0.02118922443474844,1351
hour_cos,0.007502808988914874,-0.0008945652866375926,1351
ltf_rsi_minus_htf_rsi,0.005187418215790598,0.004441482266936326,1351
volume_z_score,0.002311011780204933,-0.0008182934479750828,1351
dist_to_swing_high_atr,0.0023083706630164388,0.0021838715062105734,1351
htf_1h_atr_percentile_100,0.0016458403417412963,0.0001614946873185666,1351
both_high_vol,0.0014979132501593516,0.001386256354142521,1351
ema_20_slope_atr,0.0013045083821013172,0.0011839831882795014,1351
atr_percentile_100,0.001119251155197844,0.0007169793094511923,1351
htf_ltf_agree_bull,0.0008224486812776411,-0.0003032951934469559,1351
pullback_in_bear,0.0006461235203808675,0.0006304691653366461,1351
realized_vol_20,0.00035588669314693045,0.0003069184516019228,1351
