feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.12706015170732368,0.12160053487532009,1088
ema_20_dist_atr,0.0976677958529265,0.09620689177784637,1088
dist_to_swing_low_atr,0.045359061120550034,0.03366639212722128,1088
hour_sin,0.036470723282364705,0.0272569742875285,1088
hour_cos,0.014445548392575632,0.0021706424847506072,1088
ltf_rsi_minus_htf_rsi,0.006525444214524302,0.004568138374090248,1088
volume_z_score,0.005127961215219267,-0.003819515909769918,1088
dist_to_swing_high_atr,0.004743140845882415,0.004635171819707679,1088
ema_20_slope_atr,0.0015574881397424553,0.0013860012524270198,1088
htf_1h_atr_percentile_100,0.0015026173424332345,-0.00044820698214873635,1088
both_high_vol,0.0011848580058915663,0.0008412064895151835,1088
atr_percentile_100,0.0011823099824968344,0.0005440799622020016,1088
htf_ltf_agree_bull,0.0006792117214556332,-0.00020181393639739077,1088
pullback_in_bear,0.0006737867361837457,0.0006737867361837457,1088
realized_vol_20,0.0003493844565336972,0.0002454427302207929,1088
