feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.09558552984567767,0.08738515434010466,1545
ema_20_dist_atr,0.07628051731374563,0.07411084462359334,1545
hour_sin,0.03902855765021655,0.03618989222940571,1545
dist_to_swing_low_atr,0.03649178508818555,0.029191371031342124,1545
hour_cos,0.010061101911176387,0.002018163123622656,1545
ltf_rsi_minus_htf_rsi,0.005962056559665859,0.004683819164180623,1545
volume_z_score,0.003369705414619051,-0.0020697807058480096,1545
dist_to_swing_high_atr,0.0030543682278203845,0.0029517374187401197,1545
htf_1h_atr_percentile_100,0.0015442341874081882,-8.7784375101412e-05,1545
both_high_vol,0.0013046337082719222,0.0011441820397644809,1545
ema_20_slope_atr,0.0012540931208653826,0.0010938249600317654,1545
atr_percentile_100,0.0011229120960680598,0.0007344802721080687,1545
htf_ltf_agree_bull,0.0008304270233242926,-0.00020696404719168707,1545
pullback_in_bear,0.0006463295019532519,0.0006463295019532519,1545
realized_vol_20,0.00035138490451069003,0.00026981808352137705,1545
