feature,mean_abs_shap,mean_signed_shap,n_samples
ema_20_dist_atr,0.04297103545707246,0.04163007982641519,1017
dist_to_swing_low_atr,0.02467350371203917,0.022721458149485625,1017
hour_sin,0.02457297545507619,0.02457297545507619,1017
rvol_20,0.023771099954249936,0.009736714846801841,1017
ltf_rsi_minus_htf_rsi,0.004704517374679036,0.004166690609023489,1017
hour_cos,0.004248308222622981,-0.0038998777905077065,1017
both_high_vol,0.0017037239762819109,0.0017037239762819109,1017
htf_1h_atr_percentile_100,0.0015828922926952567,0.0009341393276200025,1017
volume_z_score,0.0013630101438185823,-0.00019460530336722748,1017
ema_20_slope_atr,0.0011534514300371211,0.0010759600355141612,1017
dist_to_swing_high_atr,0.000862126598797071,0.0008315675225125054,1017
atr_percentile_100,0.0007797779461718584,0.00034001042021397583,1017
htf_ltf_agree_bull,0.0007440887093863109,-0.0003437140665360145,1017
pullback_in_bear,0.0003880572470891708,0.0003880572470891708,1017
realized_vol_20,0.0003585586755296173,0.0002662626993228666,1017
