feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.08002480269246004,0.07061142361141699,3000
ema_20_dist_atr,0.07122509164298953,0.06927566828141055,3000
hour_sin,0.03902470589419528,0.034376841571262744,3000
dist_to_swing_low_atr,0.03442671550397907,0.02657654840184199,3000
hour_cos,0.009435513784449286,0.0011476361272839478,3000
ltf_rsi_minus_htf_rsi,0.00565037454926135,0.004472788774144678,3000
dist_to_swing_high_atr,0.0027918649971287995,0.0026369807555817215,3000
volume_z_score,0.00232281622430908,-0.0009255686267021257,3000
htf_1h_atr_percentile_100,0.00147170490519061,0.00020856123069895106,3000
both_high_vol,0.00145650941772473,0.0011567021016331348,3000
ema_20_slope_atr,0.0013411930909770907,0.0012133246341809972,3000
atr_percentile_100,0.000980138427372494,0.0005623923502172825,3000
htf_ltf_agree_bull,0.000806132542992648,-0.00030012071593038097,3000
pullback_in_bear,0.0006665200822816385,0.0006665200822816385,3000
realized_vol_20,0.0003544426030188661,0.00016809695138749248,3000
