feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.05290257239635629,0.05290257239635629,4
hour_sin,0.05053054120312046,-0.012727932912023742,4
ema_20_dist_atr,0.03835318682437483,0.03835318682437483,4
dist_to_swing_low_atr,0.03233608241263271,0.03233608241263271,4
hour_cos,0.009745765692713593,-0.009745765692713593,4
volume_z_score,0.005849614915675346,-0.005457428743760663,4
ltf_rsi_minus_htf_rsi,0.0038188403829708647,0.0038188403829708647,4
htf_1h_atr_percentile_100,0.0017548903965264322,0.0017548903965264322,4
dist_to_swing_high_atr,0.0012457024233085874,0.0012457024233085874,4
both_high_vol,0.001200607246386578,0.001200607246386578,4
htf_ltf_agree_bull,0.0010820141165169066,0.00023429628225247502,4
realized_vol_20,0.0009065706882986911,0.00043290421109055575,4
pullback_in_bear,0.00044610081986788333,0.00044610081986788333,4
atr_percentile_100,0.00042515282630579114,0.00042515282630579114,4
ema_20_slope_atr,0.00023487116078120746,0.00023487116078120746,4
