feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.1197750960882794,0.11314037628240832,1154
ema_20_dist_atr,0.09874771074252232,0.09788493566530695,1154
dist_to_swing_low_atr,0.04791786760413163,0.037896462636769504,1154
hour_sin,0.03713142518643313,0.025048588991634584,1154
hour_cos,0.014167574794839047,0.003024077444768187,1154
ltf_rsi_minus_htf_rsi,0.005979061645760467,0.004791867720102578,1154
dist_to_swing_high_atr,0.0046158735221100995,0.004418282577127321,1154
volume_z_score,0.0032364226838998474,-0.0016897424041117453,1154
ema_20_slope_atr,0.0016775856027964721,0.0015587406594591516,1154
htf_1h_atr_percentile_100,0.0015526932527772435,-0.000273436645454877,1154
both_high_vol,0.0012932689600608982,0.0008953958184767519,1154
atr_percentile_100,0.0008295198796689393,0.0003998695208702604,1154
pullback_in_bear,0.0006897047719439882,0.0006897047719439882,1154
htf_ltf_agree_bull,0.0006179810788304002,-0.0002532706749326588,1154
realized_vol_20,0.000354806893577181,0.0001331597741311977,1154
