feature,mean_abs_shap,mean_signed_shap,n_samples
rvol_20,0.09832553095428881,0.09002113572376805,1525
ema_20_dist_atr,0.08074287166591752,0.07922530092591402,1525
hour_sin,0.04113917790448147,0.03795713961253268,1525
dist_to_swing_low_atr,0.037244253115463824,0.029487133290596976,1525
hour_cos,0.009820784037133821,0.0029418803202356783,1525
ltf_rsi_minus_htf_rsi,0.005857391724659069,0.004600091163182791,1525
dist_to_swing_high_atr,0.0029657265787016262,0.0028618600983271346,1525
volume_z_score,0.002447657773822687,-0.0011019271708020742,1525
htf_1h_atr_percentile_100,0.001425626045555588,0.00015347939060966247,1525
both_high_vol,0.0013713327604633887,0.0011205303952227298,1525
ema_20_slope_atr,0.0012634391498735065,0.0011407037207828658,1525
atr_percentile_100,0.0009904627267332904,0.0005817326550649961,1525
htf_ltf_agree_bull,0.0008011595129638493,-0.00030872820100789943,1525
pullback_in_bear,0.0006842484597928896,0.0006842484597928896,1525
realized_vol_20,0.0003545582892911365,0.00013569865901657803,1525
