config,n,pf,wr,wins,losses,pct_of_base,pf_delta_vs_base,wr_delta_vs_base,seed,symbol,cluster_cutoff
base,5758,1.6501,0.5238,2968,2698,1.0,0.0,0.0,42,GBPUSD,0.498
base_+htf,2259,1.6362,0.5217,1153,1057,0.3923,-0.0139,-0.0021,42,GBPUSD,0.498
base_+session,1959,2.2325,0.5981,1146,770,0.3402,0.5824,0.0743,42,GBPUSD,0.498
base_+htf_+sess,789,2.2451,0.5995,458,306,0.137,0.595,0.0757,42,GBPUSD,0.498
base,4595,1.633,0.5212,2369,2176,1.0,0.0,0.0,42,AUDUSD,0.498
base_+htf,1881,1.6866,0.5293,985,876,0.4094,0.0536,0.0081,42,AUDUSD,0.498
base_+session,1713,1.8004,0.5455,917,764,0.3728,0.1674,0.0243,42,AUDUSD,0.498
base_+htf_+sess,687,2.4588,0.6211,418,255,0.1495,0.8258,0.0999,42,AUDUSD,0.498
base,5449,1.5491,0.508,2715,2629,1.0,0.0,0.0,42,USDCHF,0.498
base_+htf,1915,1.678,0.528,990,885,0.3514,0.1289,0.02,42,USDCHF,0.498
base_+session,2070,1.7118,0.533,1083,949,0.3799,0.1627,0.0249,42,USDCHF,0.498
base_+htf_+sess,690,1.5872,0.5141,346,327,0.1266,0.0381,0.0061,42,USDCHF,0.498
base,5440,1.6888,0.5296,2782,2471,1.0,0.0,0.0,42,USDCAD,0.498
base_+htf,2078,1.8311,0.5497,1106,906,0.382,0.1423,0.0201,42,USDCAD,0.498
base_+session,1930,2.7921,0.6505,1182,635,0.3548,1.1033,0.1209,42,USDCAD,0.498
base_+htf_+sess,796,2.9763,0.6649,502,253,0.1463,1.2875,0.1353,42,USDCAD,0.498
base,6278,1.616,0.5186,3204,2974,1.0,0.0,0.0,1,GBPUSD,0.4974
base_+htf,2497,1.5236,0.5039,1229,1210,0.3977,-0.0925,-0.0147,1,GBPUSD,0.4974
base_+session,2124,2.1157,0.5851,1213,860,0.3383,0.4997,0.0665,1,GBPUSD,0.4974
base_+htf_+sess,876,2.0363,0.5758,486,358,0.1395,0.4203,0.0572,1,GBPUSD,0.4974
base,4656,1.6598,0.5253,2420,2187,1.0,0.0,0.0,1,AUDUSD,0.4974
base_+htf,1926,1.7506,0.5385,1027,880,0.4137,0.0908,0.0133,1,AUDUSD,0.4974
base_+session,1963,1.7416,0.5373,1038,894,0.4216,0.0818,0.012,1,AUDUSD,0.4974
base_+htf_+sess,829,2.1867,0.5931,484,332,0.178,0.5269,0.0678,1,AUDUSD,0.4974
base,5898,1.5214,0.5035,2920,2879,1.0,0.0,0.0,1,USDCHF,0.4974
base_+htf,2098,1.6622,0.5257,1086,980,0.3557,0.1409,0.0221,1,USDCHF,0.4974
base_+session,2305,1.6316,0.521,1178,1083,0.3908,0.1102,0.0175,1,USDCHF,0.4974
base_+htf_+sess,749,1.5331,0.5055,370,362,0.127,0.0118,0.0019,1,USDCHF,0.4974
base,6006,1.6616,0.5256,3053,2756,1.0,0.0,0.0,1,USDCAD,0.4974
base_+htf,2297,1.7674,0.5409,1203,1021,0.3825,0.1057,0.0154,1,USDCAD,0.4974
base_+session,2108,2.6599,0.6394,1275,719,0.351,0.9983,0.1139,1,USDCAD,0.4974
base_+htf_+sess,869,2.7194,0.6445,533,294,0.1447,1.0577,0.1189,1,USDCAD,0.4974
base,5804,1.6314,0.521,2979,2739,1.0,0.0,0.0,7,GBPUSD,0.4977
base_+htf,2357,1.565,0.5106,1179,1130,0.4061,-0.0664,-0.0104,7,GBPUSD,0.4977
base_+session,1946,2.1834,0.5928,1131,777,0.3353,0.552,0.0718,7,GBPUSD,0.4977
base_+htf_+sess,812,2.1641,0.5906,466,323,0.1399,0.5327,0.0696,7,GBPUSD,0.4977
base,4674,1.6291,0.5206,2410,2219,1.0,0.0,0.0,7,AUDUSD,0.4977
base_+htf,1959,1.6324,0.5211,1011,929,0.4191,0.0033,0.0005,7,AUDUSD,0.4977
base_+session,1734,1.7727,0.5417,923,781,0.371,0.1436,0.021,7,AUDUSD,0.4977
base_+htf_+sess,717,2.1794,0.5923,417,287,0.1534,0.5503,0.0717,7,AUDUSD,0.4977
base,5469,1.5517,0.5085,2732,2641,1.0,0.0,0.0,7,USDCHF,0.4977
base_+htf,1971,1.6654,0.5261,1017,916,0.3604,0.1137,0.0177,7,USDCHF,0.4977
base_+session,2077,1.6977,0.5309,1082,956,0.3798,0.146,0.0224,7,USDCHF,0.4977
base_+htf_+sess,702,1.558,0.5095,349,336,0.1284,0.0064,0.001,7,USDCHF,0.4977
base,5368,1.704,0.5318,2756,2426,1.0,0.0,0.0,7,USDCAD,0.4977
base_+htf,2079,1.7967,0.545,1096,915,0.3873,0.0927,0.0132,7,USDCAD,0.4977
base_+session,1945,2.8066,0.6517,1190,636,0.3623,1.1026,0.1199,7,USDCAD,0.4977
base_+htf_+sess,810,2.9365,0.6619,509,260,0.1509,1.2325,0.1301,7,USDCAD,0.4977
